iteration,chain,rt_params_non_centered[1],rt_params_non_centered[2],rt_params_non_centered[3],rt_params_non_centered[4],rt_params_non_centered[5],rt_params_non_centered[6],rt_params_non_centered[7],rt_params_non_centered[8],rt_params_non_centered[9],rt_params_non_centered[10],rt_params_non_centered[11],rt_params_non_centered[12],rt_params_non_centered[13],rt_params_non_centered[14],rt_params_non_centered[15],rt_params_non_centered[16],rt_params_non_centered[17],rt_params_non_centered[18],rt_params_non_centered[19],rt_params_non_centered[20],rt_params_non_centered[21],rt_params_non_centered[22],rt_params_non_centered[23],rt_params_non_centered[24],rt_params_non_centered[25],rt_params_non_centered[26],rt_params_non_centered[27],rt_params_non_centered[28],rt_params_non_centered[29],rt_params_non_centered[30],rt_params_non_centered[31],rt_params_non_centered[32],rt_params_non_centered[33],rt_params_non_centered[34],rt_params_non_centered[35],I_init_non_centered,R1_init_non_centered,E_init_non_centered,gamma_non_centered,nu_non_centered,eta_non_centered,rho_gene_non_centered,tau_non_centered,lambda_non_centered,df,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
11,1,-0.4606982106450073,-1.2595229234452088,-2.825325179075744,-1.0508661922326563,-2.189115089401728,0.2558386630279066,-0.00043853045215152923,-0.3791875673773365,-1.261836131462452,0.45893155548379233,0.2825191108393985,1.1642699408806207,0.04578977157469404,0.744587459693427,-1.5010409925427541,0.7064272520766565,-0.8601101659950344,-1.501023788134337,-0.317248749604391,1.6196007824707483,3.099538709834825,0.6109872656449966,-0.9503327098074832,1.352302002932522,-1.1907078216088607,1.3182796484873147,1.9214055287410912,0.6401125640705869,0.18214784925826505,-1.1296144046832954,-0.9412758383995072,-1.1750466467530103,0.7117504448854954,0.7797404895352811,-2.4779924379766656,2.643541251825528,-0.7204408949441062,-1.0579576465621554,-1.2780283874312672,-2.3210709583794524,0.6770029374016275,-3.3593671153837414,0.26503177818557133,-1.0976535655701798,14.455516327213052,-550.7074462280119,63.0,1.0,0.18649636172451112,-550.7074462280119,578.5528529762819,0.12654058359419196,868.1681510297759,5.0,0.0,0.06201178493355272,0.06201178493355272
12,1,-0.49931866895012156,-1.2606823768195803,-2.864476723168068,-1.0461103745149483,-2.2051343727011163,0.34979558156487234,-0.03516793094321465,-0.2788195281392567,-1.3015142999458962,0.39117034156943437,0.17328872626180936,1.1459566557620329,0.00258199348025806,0.7290280030409524,-1.447984364890058,0.7388609434463248,-0.8762733792547766,-1.4908202947773705,-0.26439984436566555,1.645141600660879,3.181768392772731,0.5495191017382716,-0.9592099038486905,1.3472906659265012,-1.2023470517036867,1.3367590971995205,1.9084968195021952,0.5800210554136174,0.16679694409357,-1.1366707838486716,-0.8832388106876611,-1.1682035061194471,0.7295468166413702,0.8312817614856733,-2.5226141386835716,2.5874921473124264,-0.7955122535548759,-1.1008926406573392,-1.3420187316953185,-2.341825561714707,0.6803541865094525,-3.386170523468468,0.32300461546883363,-1.1736809919884619,15.70313077875392,-549.357075333231,45.0,1.0,0.02333153250617464,-549.357075333231,563.9761196530171,-1.0914698482285985,1052.7826583699004,5.0,1.0,0.06201178493355272,0.06201178493355272
13,1,-0.4908241164171764,-1.2136709546291697,-2.910593499925483,-0.934044981498369,-2.1073681896121963,0.43155602637694335,0.033525706189088726,-0.40630193233558276,-1.378731490737127,0.39122786959846517,0.21139096339499758,1.0585810878094972,-0.11435927203702984,0.7408328422554249,-1.4995400359354136,0.7614967430586277,-0.7785190631503817,-1.5087035255641037,-0.2520084877223232,1.7350951797837826,3.2010538912642326,0.5562966622449647,-0.9683981977010099,1.2321533770564468,-1.2168645446402029,1.360407285584751,1.8740485010194665,0.5476198874154209,0.15622222823058818,-1.1510611645141144,-0.9033080221454202,-1.0070946078779772,0.7346152078400049,0.9082974147114398,-2.5186337225642075,2.6361654128416183,-0.8523917908757029,-0.9592200191335076,-1.2947903971604808,-2.4228452831031233,0.6692415987671583,-3.396435308421638,0.3228137535242508,-1.0600648221108264,15.50694229774688,-550.182993837099,9.0,1.0,0.04362338873383248,-550.182993837099,577.2114199481351,0.9451326131825226,1024.7413842800888,3.0,1.0,0.06201178493355272,0.06201178493355272
14,1,-0.3624154025752335,-1.0976088545265092,-2.906105115757769,-0.9727829880834119,-2.2009345472073636,0.27076928256936766,0.002566762373706063,-0.4719263214908446,-1.2286686761189543,0.22759095637123955,0.1572891066454662,0.9827073085582341,0.02976689254028464,0.6596169438413696,-1.4542770632887434,0.8360451177068486,-0.7537868504827786,-1.7083793947229409,-0.44332468243901,1.726193225484205,3.392265802298766,0.5048179669175752,-0.8370613381302511,1.2405945348371257,-1.3079762784139,1.207260874286404,1.8024848620918972,0.3472581782384689,0.06031113574328153,-1.0891151752862986,-0.8273430624857402,-0.9004005908588932,0.6098999353073671,0.9645760891725613,-2.518624494950236,2.686732322655547,-0.9663300798180107,-0.9846697635522323,-1.2536692256208075,-2.561643184859982,0.661270176707192,-3.1081916707749837,0.36749876623141653,-1.294209052166459,16.110666405945665,-549.9582594570492,14.0,1.0,0.14757257010260463,-549.9582594570492,570.3796643760063,-0.6685960256262433,1916.225681011916,3.0,1.0,0.06201178493355272,0.06201178493355272
15,1,-0.3624154025752335,-1.0976088545265092,-2.906105115757769,-0.9727829880834119,-2.2009345472073636,0.27076928256936766,0.002566762373706063,-0.4719263214908446,-1.2286686761189543,0.22759095637123955,0.1572891066454662,0.9827073085582341,0.02976689254028464,0.6596169438413696,-1.4542770632887434,0.8360451177068486,-0.7537868504827786,-1.7083793947229409,-0.44332468243901,1.726193225484205,3.392265802298766,0.5048179669175752,-0.8370613381302511,1.2405945348371257,-1.3079762784139,1.207260874286404,1.8024848620918972,0.3472581782384689,0.06031113574328153,-1.0891151752862986,-0.8273430624857402,-0.9004005908588932,0.6098999353073671,0.9645760891725613,-2.518624494950236,2.686732322655547,-0.9663300798180107,-0.9846697635522323,-1.2536692256208075,-2.561643184859982,0.661270176707192,-3.1081916707749837,0.36749876623141653,-1.294209052166459,16.110666405945665,-549.9582594570492,10.0,1.0,0.08735333563955475,-549.9582594570492,575.7576956362536,0.0,1003.5781755046335,3.0,1.0,0.06201178493355272,0.06201178493355272
16,1,-0.23518393111444624,-1.0390853884143523,-2.909747879686153,-1.009202541793663,-2.0883171580519564,0.2231428645291614,0.1689600396983098,-0.5367715343741984,-1.1006122314716673,0.053508110873873554,0.10315300930218516,0.9577214740190502,-0.06641881769982827,0.7294780904941442,-1.412387605454679,0.7612114184744705,-0.7030855893847439,-1.5230023056551472,-0.530959402991154,1.6846761097933765,3.479001150296395,0.6419004322926642,-0.8288382614295173,1.2420650065730277,-1.0501029306356133,1.1301723209404546,1.7085891978373775,0.36877438751816655,0.25891972339556846,-1.041210052261411,-0.7581909207299857,-1.0717497451154006,0.3463652310677898,0.7802584168365361,-2.5749587290414486,2.44816143350056,-0.7919321675650123,-0.9320323404164315,-1.1573187970383954,-2.439705613695443,0.594415491286476,-3.224033044073229,0.29439083975539926,-1.1643922611969273,20.202090492210626,-544.6659144914087,15.0,1.0,0.723241514455064,-544.6659144914087,569.8027651208607,-0.12900257798946768,1310.8058906546012,3.0,1.0,0.06201178493355272,0.06201178493355272
17,1,-0.23518393111444624,-1.0390853884143523,-2.909747879686153,-1.009202541793663,-2.0883171580519564,0.2231428645291614,0.1689600396983098,-0.5367715343741984,-1.1006122314716673,0.053508110873873554,0.10315300930218516,0.9577214740190502,-0.06641881769982827,0.7294780904941442,-1.412387605454679,0.7612114184744705,-0.7030855893847439,-1.5230023056551472,-0.530959402991154,1.6846761097933765,3.479001150296395,0.6419004322926642,-0.8288382614295173,1.2420650065730277,-1.0501029306356133,1.1301723209404546,1.7085891978373775,0.36877438751816655,0.25891972339556846,-1.041210052261411,-0.7581909207299857,-1.0717497451154006,0.3463652310677898,0.7802584168365361,-2.5749587290414486,2.44816143350056,-0.7919321675650123,-0.9320323404164315,-1.1573187970383954,-2.439705613695443,0.594415491286476,-3.224033044073229,0.29439083975539926,-1.1643922611969273,20.202090492210626,-544.6659144914087,36.0,1.0,0.0033577190156139853,-544.6659144914087,568.1163179119518,0.0,1422.3665501818514,5.0,1.0,0.06201178493355272,0.06201178493355272
18,1,-0.23518393111444624,-1.0390853884143523,-2.909747879686153,-1.009202541793663,-2.0883171580519564,0.2231428645291614,0.1689600396983098,-0.5367715343741984,-1.1006122314716673,0.053508110873873554,0.10315300930218516,0.9577214740190502,-0.06641881769982827,0.7294780904941442,-1.412387605454679,0.7612114184744705,-0.7030855893847439,-1.5230023056551472,-0.530959402991154,1.6846761097933765,3.479001150296395,0.6419004322926642,-0.8288382614295173,1.2420650065730277,-1.0501029306356133,1.1301723209404546,1.7085891978373775,0.36877438751816655,0.25891972339556846,-1.041210052261411,-0.7581909207299857,-1.0717497451154006,0.3463652310677898,0.7802584168365361,-2.5749587290414486,2.44816143350056,-0.7919321675650123,-0.9320323404164315,-1.1573187970383954,-2.439705613695443,0.594415491286476,-3.224033044073229,0.29439083975539926,-1.1643922611969273,20.202090492210626,-544.6659144914087,20.0,1.0,0.01895640557411849,-544.6659144914087,565.1739957479043,0.0,1754.8783419234273,4.0,1.0,0.06201178493355272,0.06201178493355272
19,1,-0.23518393111444624,-1.0390853884143523,-2.909747879686153,-1.009202541793663,-2.0883171580519564,0.2231428645291614,0.1689600396983098,-0.5367715343741984,-1.1006122314716673,0.053508110873873554,0.10315300930218516,0.9577214740190502,-0.06641881769982827,0.7294780904941442,-1.412387605454679,0.7612114184744705,-0.7030855893847439,-1.5230023056551472,-0.530959402991154,1.6846761097933765,3.479001150296395,0.6419004322926642,-0.8288382614295173,1.2420650065730277,-1.0501029306356133,1.1301723209404546,1.7085891978373775,0.36877438751816655,0.25891972339556846,-1.041210052261411,-0.7581909207299857,-1.0717497451154006,0.3463652310677898,0.7802584168365361,-2.5749587290414486,2.44816143350056,-0.7919321675650123,-0.9320323404164315,-1.1573187970383954,-2.439705613695443,0.594415491286476,-3.224033044073229,0.29439083975539926,-1.1643922611969273,20.202090492210626,-544.6659144914087,31.0,1.0,0.00022250348780602957,-544.6659144914087,568.1058046171311,0.0,562.1605972674556,5.0,0.0,0.06201178493355272,0.06201178493355272
20,1,-0.23518393111444624,-1.0390853884143523,-2.909747879686153,-1.009202541793663,-2.0883171580519564,0.2231428645291614,0.1689600396983098,-0.5367715343741984,-1.1006122314716673,0.053508110873873554,0.10315300930218516,0.9577214740190502,-0.06641881769982827,0.7294780904941442,-1.412387605454679,0.7612114184744705,-0.7030855893847439,-1.5230023056551472,-0.530959402991154,1.6846761097933765,3.479001150296395,0.6419004322926642,-0.8288382614295173,1.2420650065730277,-1.0501029306356133,1.1301723209404546,1.7085891978373775,0.36877438751816655,0.25891972339556846,-1.041210052261411,-0.7581909207299857,-1.0717497451154006,0.3463652310677898,0.7802584168365361,-2.5749587290414486,2.44816143350056,-0.7919321675650123,-0.9320323404164315,-1.1573187970383954,-2.439705613695443,0.594415491286476,-3.224033044073229,0.29439083975539926,-1.1643922611969273,20.202090492210626,-544.6659144914087,21.0,1.0,0.016985096511892197,-544.6659144914087,567.3026522826508,0.0,1075.5631136782263,4.0,1.0,0.06201178493355272,0.06201178493355272
